Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,No,F,A,A,C,1,Urban,Y
Male,Yes,0,Graduate,No,F,A,B,C,1,Urban,Y
Female,Yes,0,Graduate,No,C,D,B,C,0,Urban,N
Female,No,0,Graduate,No,E,C,B,C,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,B,B,B,C,1,Semiurban,Y
Female,No,0,Graduate,No,D,A,B,C,1,Semiurban,Y
Female,No,0,Graduate,No,E,A,B,C,1,Semiurban,N
Male,Yes,2,Graduate,No,E,A,B,C,1,Urban,N
Female,Yes,1,Graduate,Yes,K,A,C,C,0,Urban,N
Male,Yes,2,Graduate,No,C,B,A,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,C,B,A,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,D,C,B,C,1,Rural,N
Male,Yes,1,Graduate,No,I,C,B,C,1,Urban,Y
Male,Yes,2,Not Graduate,No,D,C,B,C,1,Urban,Y
Male,Yes,0,Graduate,No,C,D,B,C,1,Urban,Y
Male,Yes,3+,Graduate,No,D,A,A,C,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,C,D,B,B,0,Rural,N
Male,Yes,1,Graduate,No,E,A,,C,0,Rural,N
Female,No,0,Graduate,No,E,A,B,C,0,Semiurban,N
Male,Yes,0,Graduate,No,F,E,C,C,1,Semiurban,N
Male,No,0,Not Graduate,No,D,C,B,B,0,Urban,N
Male,Yes,1,Graduate,No,K,A,D,C,1,Urban,Y
Male,Yes,3+,Not Graduate,Yes,H,A,B,A,1,Urban,Y
Female,No,0,Graduate,No,E,A,B,C,0,Semiurban,N
Male,Yes,0,Graduate,No,D,D,B,C,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,B,B,A,C,1,Semiurban,Y
Male,No,0,Graduate,No,D,A,A,B,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,E,A,A,,0,Semiurban,N
Male,Yes,3+,Graduate,Yes,F,B,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,D,A,B,C,1,Urban,N
Male,No,0,Graduate,No,D,E,B,C,1,Urban,N
Male,Yes,1,Graduate,Yes,B,D,B,C,1,Urban,N
Male,Yes,3+,Graduate,No,D,E,B,B,0,Semiurban,N
Male,Yes,3+,Not Graduate,Yes,D,C,B,C,,Semiurban,Y
Female,No,0,Graduate,No,D,A,B,C,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,C,A,,C,1,Semiurban,Y
Female,Yes,2,Graduate,No,B,B,B,C,1,Urban,N
Male,Yes,0,Graduate,No,G,C,C,C,,Semiurban,N
Male,Yes,1,Graduate,No,D,A,A,B,1,Urban,Y
Male,No,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,D,C,A,C,,Semiurban,Y
Male,Yes,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,I,A,C,C,1,Urban,Y
Male,Yes,0,Graduate,No,F,E,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,Yes,2,Graduate,No,G,F,B,B,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,D,B,A,C,1,Urban,Y
Male,No,0,Graduate,No,E,A,B,C,1,Semiurban,Y
Male,No,0,Not Graduate,No,D,A,A,A,1,Semiurban,Y
Male,No,0,Graduate,,G,A,,C,,Urban,N
Female,Yes,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,B,A,A,C,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,E,A,B,B,1,Semiurban,Y
Male,Yes,0,Graduate,No,B,D,B,C,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,E,D,B,B,1,Urban,Y
Male,No,0,Graduate,No,E,D,B,C,1,Semiurban,Y
Male,Yes,,Graduate,No,K,A,,C,1,Urban,Y
Male,Yes,0,Graduate,No,E,D,,C,1,Semiurban,Y
Male,,,Graduate,No,D,A,B,C,1,Urban,Y
Male,Yes,1,Graduate,No,D,B,B,C,1,Urban,Y
Male,Yes,2,Graduate,No,K,B,C,C,1,Urban,Y
Male,No,0,Not Graduate,,H,A,B,C,1,Rural,N
Male,Yes,2,Graduate,No,D,D,C,C,0,Urban,N
Male,Yes,3+,Not Graduate,No,C,A,A,C,1,Semiurban,Y
Male,No,0,Graduate,No,F,A,B,C,1,Urban,Y
Female,Yes,0,Graduate,,C,C,B,C,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,D,E,B,,0,Rural,N
Female,No,1,Graduate,Yes,H,A,,C,1,Semiurban,Y
Male,No,0,Graduate,,F,A,B,C,1,Semiurban,Y
Male,Yes,1,Graduate,No,K,A,B,B,1,Rural,Y
Female,Yes,0,Graduate,No,D,C,B,C,1,Semiurban,Y
Male,Yes,1,Graduate,No,C,B,A,C,,Urban,Y
Male,Yes,0,Graduate,No,F,C,B,C,1,Rural,N
Female,No,0,Graduate,No,K,A,C,C,1,Urban,Y
Male,Yes,,Graduate,No,F,C,B,C,1,Rural,Y
Female,No,0,Graduate,No,E,A,A,C,1,Semiurban,Y
Female,No,0,Graduate,No,C,I,B,C,0,Semiurban,Y
Male,Yes,2,Graduate,No,C,A,A,C,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,E,C,B,C,1,Rural,Y
Female,No,0,Graduate,No,D,A,A,C,,Rural,Y
,Yes,3+,Graduate,No,M,A,D,C,1,Rural,Y
Male,No,0,Graduate,No,D,B,,C,1,Rural,Y
Male,Yes,1,Graduate,Yes,K,D,B,B,0,Urban,N
Male,Yes,0,Graduate,No,G,C,B,C,,Rural,N
Male,No,0,Graduate,Yes,M,A,G,C,,Urban,Y
Male,No,0,Graduate,No,C,B,A,C,1,Urban,Y
Male,No,0,Graduate,No,C,A,A,C,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,D,A,A,A,1,Semiurban,Y
Male,No,0,Graduate,No,E,A,B,C,1,Semiurban,Y
Male,Yes,3+,Graduate,No,E,H,C,C,1,Semiurban,N
Female,Yes,0,Graduate,No,E,A,A,C,1,Rural,N
Male,Yes,2,Graduate,Yes,D,D,A,C,1,Urban,Y
Male,No,0,Graduate,No,K,A,C,C,0,Semiurban,N
Male,Yes,2,Not Graduate,No,E,B,B,C,1,Rural,N
Male,Yes,2,Graduate,No,F,C,B,C,1,Rural,N
Male,No,0,Graduate,No,F,A,B,C,1,Urban,Y
Male,No,0,Graduate,Yes,G,A,B,B,1,Semiurban,Y
Male,Yes,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,Yes,2,Graduate,No,K,A,B,B,1,Urban,Y
Female,Yes,0,Graduate,No,C,E,B,C,1,Semiurban,Y
Female,Yes,2,Graduate,No,K,A,A,C,1,Urban,Y
Male,Yes,1,Graduate,No,B,B,A,C,1,Urban,Y
Female,No,0,Graduate,No,K,B,C,C,1,Rural,N
Male,Yes,0,Graduate,No,E,A,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,G,A,B,C,0,Rural,N
Male,Yes,0,Graduate,Yes,C,D,B,C,1,Rural,Y
Male,No,0,Graduate,No,J,A,C,C,1,Urban,N
Male,Yes,2,Not Graduate,No,C,A,B,C,1,Rural,N
Male,No,0,Graduate,No,D,A,A,C,1,Urban,Y
Male,Yes,3+,Graduate,No,M,A,G,B,0,Semiurban,Y
Male,Yes,1,Graduate,No,G,A,B,C,,Rural,Y
Male,Yes,1,Graduate,No,J,A,B,C,1,Urban,Y
Male,No,0,Graduate,,C,C,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,E,F,C,C,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,B,B,A,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,H,A,C,C,1,Urban,N
Male,Yes,1,Graduate,No,D,B,B,C,0,Semiurban,N
Male,Yes,2,Graduate,No,E,B,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,J,A,A,B,1,Urban,Y
Male,Yes,0,Graduate,No,D,D,B,,1,Rural,Y
Female,Yes,0,Graduate,No,E,A,B,C,1,Rural,N
Male,Yes,0,Graduate,No,C,D,B,C,1,Rural,Y
Male,No,0,Graduate,No,C,A,A,C,0,Semiurban,N
Male,Yes,2,Graduate,No,I,A,C,C,1,Semiurban,Y
Male,Yes,0,Not Graduate,,B,B,A,C,1,Rural,Y
,Yes,3+,Graduate,No,M,A,H,B,1,Urban,Y
Male,Yes,3+,Not Graduate,No,D,A,A,B,1,Rural,N
Male,Yes,0,Graduate,No,F,F,B,C,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,E,A,A,C,1,Semiurban,N
Male,Yes,0,Graduate,No,D,B,B,C,1,Rural,Y
Male,Yes,2,Graduate,No,C,B,B,C,1,Rural,Y
Male,Yes,3+,Graduate,No,F,K,E,C,0,Semiurban,N
Male,Yes,1,Graduate,No,D,A,B,C,1,Semiurban,Y
Male,No,0,Not Graduate,No,C,B,B,C,0,Urban,N
Male,Yes,1,Graduate,No,G,H,B,C,0,Urban,N
Male,No,0,Graduate,No,B,F,A,C,,Rural,N
Male,Yes,0,Graduate,No,E,A,A,B,1,Semiurban,Y
Male,Yes,1,Graduate,No,M,A,C,C,1,Semiurban,N
Female,Yes,0,Graduate,No,D,A,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,M,E,B,C,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,C,A,A,B,0,Rural,N
Male,Yes,0,Graduate,No,C,C,A,C,,Rural,Y
,Yes,0,Graduate,Yes,A,F,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,J,A,B,B,1,Rural,Y
Male,No,0,Not Graduate,No,E,A,A,C,1,Rural,Y
Male,No,0,Graduate,No,K,A,B,C,1,Semiurban,N
Male,Yes,0,Not Graduate,No,G,A,B,C,1,Urban,N
Male,No,0,Graduate,No,D,A,A,C,1,Semiurban,Y
Male,No,0,Graduate,No,E,A,B,C,1,Rural,Y
Male,Yes,1,Graduate,No,D,C,B,C,1,Semiurban,N
Male,No,0,Graduate,No,I,D,B,C,1,Rural,Y
Female,No,0,Not Graduate,No,B,C,B,,1,Urban,Y
Female,Yes,0,Graduate,No,D,C,B,C,,Semiurban,Y
Male,No,0,Graduate,Yes,K,A,A,C,1,Urban,N
Male,Yes,1,Not Graduate,No,C,C,A,C,1,Semiurban,Y
Male,No,2,Graduate,No,E,A,B,C,0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,D,A,,B,1,Urban,N
Male,Yes,1,Not Graduate,No,D,B,B,C,1,Urban,Y
Male,Yes,2,Not Graduate,No,D,A,B,C,1,Semiurban,Y
Female,No,0,Not Graduate,No,E,A,B,C,1,Semiurban,Y
Female,No,0,Graduate,No,D,A,A,C,1,Urban,Y
Male,No,0,Not Graduate,No,D,C,A,C,1,Rural,Y
Male,No,0,Graduate,No,C,A,A,C,1,Urban,Y
Male,No,0,Graduate,No,D,A,B,C,1,Semiurban,N
Female,No,0,Graduate,No,K,A,C,C,1,Semiurban,N
Male,Yes,3+,Graduate,No,D,B,B,C,0,Semiurban,N
Male,Yes,1,Graduate,Yes,H,A,C,C,1,Urban,Y
Male,Yes,3+,Not Graduate,Yes,F,A,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,D,D,B,C,1,Urban,Y
Male,Yes,3+,Not Graduate,No,D,A,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,A,B,B,C,1,Rural,N
Male,Yes,0,Graduate,No,D,B,B,C,1,Semiurban,Y
Male,Yes,2,Graduate,,F,A,A,C,0,Semiurban,N
Female,Yes,2,Graduate,No,E,C,B,C,,Semiurban,Y
Male,Yes,0,Graduate,No,C,A,A,C,0,Urban,N
Male,Yes,2,Graduate,No,E,B,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,H,B,B,,1,Semiurban,Y
Male,Yes,0,Graduate,No,G,A,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,D,A,B,C,1,Rural,N
Male,Yes,,Not Graduate,Yes,E,A,B,C,1,Urban,N
Male,Yes,2,Graduate,No,G,B,C,C,1,Semiurban,Y
Male,,,Graduate,No,E,A,B,C,1,Semiurban,Y
Male,No,0,Graduate,Yes,G,A,C,C,1,Rural,Y
Male,Yes,1,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,,D,A,A,B,1,Rural,Y
Male,No,0,Not Graduate,No,D,C,B,,1,Rural,Y
Female,No,0,Graduate,No,I,A,C,C,1,Semiurban,Y
Male,Yes,1,Graduate,No,D,B,B,C,1,Semiurban,Y
Male,Yes,1,Graduate,No,F,B,B,C,1,Rural,Y
Male,Yes,0,Graduate,,F,A,C,C,,Urban,N
Female,No,0,Graduate,Yes,D,A,B,C,,Urban,Y
Female,No,1,Graduate,No,D,A,B,C,1,Rural,Y
Male,Yes,1,Graduate,No,D,A,A,C,1,Semiurban,Y
Male,Yes,2,Graduate,No,F,F,B,C,1,Rural,Y
Male,Yes,1,Not Graduate,No,C,B,B,B,1,Urban,N
Male,No,0,Graduate,No,C,F,B,A,1,Urban,Y
Male,Yes,2,Graduate,Yes,G,B,B,C,1,Rural,Y
Male,Yes,0,Not Graduate,No,D,E,B,C,1,Semiurban,Y
Male,No,0,Graduate,Yes,G,E,B,B,1,Urban,N
Male,Yes,2,Graduate,No,J,A,B,C,1,Urban,Y
Male,Yes,1,Not Graduate,No,G,A,B,B,1,Urban,Y
Male,Yes,1,Graduate,No,C,B,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,B,B,A,C,1,Urban,Y
Male,Yes,0,Not Graduate,No,B,D,C,C,0,Semiurban,N
Female,No,2,Graduate,No,D,A,B,C,1,Urban,N
Male,No,0,Not Graduate,Yes,C,C,B,C,1,Rural,Y
Male,Yes,1,Not Graduate,No,C,H,C,B,1,Semiurban,Y
Male,No,0,Graduate,Yes,L,A,B,C,0,Urban,N
Female,No,3+,Graduate,No,D,A,C,C,1,Rural,Y
Male,No,0,Not Graduate,No,G,A,B,C,0,Rural,N
Male,Yes,3+,Graduate,No,F,A,A,C,1,Urban,N
Male,Yes,0,Graduate,No,K,C,D,C,1,Rural,N
Male,Yes,3+,Not Graduate,No,E,A,B,C,,Semiurban,N
Male,Yes,1,Graduate,No,G,E,D,C,,Urban,Y
Male,No,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Female,No,1,Graduate,No,D,A,B,A,1,Semiurban,N
Female,No,0,Graduate,No,H,A,B,C,1,Rural,Y
Male,No,0,Graduate,Yes,F,A,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,E,D,B,C,1,Rural,Y
Male,Yes,2,Graduate,No,E,B,B,C,1,Semiurban,Y
Male,Yes,3+,Graduate,No,E,B,B,C,0,Urban,Y
Female,No,0,Graduate,,D,A,B,C,1,Rural,N
Female,No,1,Graduate,No,C,B,A,C,1,Urban,Y
Female,No,0,Graduate,No,D,A,A,C,1,Urban,Y
Male,Yes,0,Graduate,No,K,A,B,C,1,Urban,Y
Male,No,0,Graduate,No,C,B,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,Yes,2,Graduate,No,D,A,A,C,1,Semiurban,Y
Male,Yes,1,Graduate,No,C,B,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,D,D,C,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,D,B,A,C,1,Urban,Y
Male,Yes,0,Graduate,No,K,A,E,C,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,E,A,B,C,,Rural,Y
Male,No,1,Not Graduate,Yes,E,C,B,C,0,Urban,N
Male,Yes,0,Graduate,No,D,A,B,C,1,Semiurban,Y
Male,Yes,2,Graduate,No,C,A,A,B,1,Urban,Y
Female,No,0,Graduate,No,B,B,A,C,1,Urban,Y
Male,Yes,0,Graduate,No,M,A,,C,1,Rural,N
Male,No,0,Graduate,No,D,D,A,C,1,Rural,Y
Female,No,0,Graduate,Yes,C,B,A,B,1,Semiurban,N
Male,Yes,0,Graduate,No,D,C,B,C,1,Rural,Y
Female,No,0,Graduate,No,E,A,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,J,A,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,D,C,B,C,1,Rural,Y
Male,Yes,2,Graduate,No,E,A,B,C,0,Semiurban,N
Male,Yes,2,Graduate,No,D,B,B,C,1,Urban,Y
Female,No,,Graduate,No,F,A,B,C,0,Urban,N
Male,Yes,0,Graduate,No,C,D,B,C,1,Semiurban,Y
Male,Yes,3+,Graduate,,E,B,B,C,1,Urban,Y
Male,Yes,1,Graduate,No,G,A,C,C,1,Semiurban,Y
Female,Yes,1,Graduate,No,E,A,B,C,1,Urban,Y
Female,No,0,Graduate,No,F,C,B,C,1,Rural,N
Male,Yes,1,Graduate,No,C,C,B,C,1,Urban,N
Male,Yes,0,Not Graduate,No,B,C,A,C,0,Urban,N
Male,Yes,,Not Graduate,No,C,B,B,C,1,Semiurban,Y
Female,No,0,Graduate,No,F,A,B,C,1,Rural,Y
Male,Yes,1,Graduate,No,B,B,A,C,1,Urban,Y
Male,No,0,Graduate,No,E,C,B,C,1,Rural,Y
Male,No,0,Not Graduate,No,C,A,,C,1,Urban,N
Female,No,0,Graduate,No,D,B,B,C,1,Rural,Y
Female,No,0,Graduate,No,C,B,B,C,0,Urban,N
Male,No,0,Graduate,No,M,A,E,C,1,Rural,N
Male,Yes,2,Not Graduate,No,H,A,B,C,,Rural,Y
Female,No,0,Graduate,No,C,A,A,C,1,Semiurban,Y
Male,No,0,Not Graduate,No,C,C,B,C,1,Semiurban,Y
Female,No,0,Graduate,No,C,A,A,C,1,Rural,Y
Male,Yes,2,Graduate,Yes,F,A,B,A,,Rural,Y
,Yes,0,Graduate,No,C,B,B,C,1,Rural,N
Male,Yes,1,Not Graduate,No,D,B,B,B,1,Urban,Y
Male,Yes,2,Graduate,No,D,A,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,C,C,A,C,,Urban,Y
Female,No,1,Graduate,No,D,A,B,C,,Semiurban,Y
Male,Yes,1,Graduate,Yes,K,A,B,C,1,Rural,N
Male,Yes,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,Yes,3+,Graduate,No,E,A,B,C,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,D,B,,C,1,Rural,Y
Female,No,0,Graduate,No,D,C,B,C,,Rural,Y
Male,Yes,3+,Graduate,No,L,A,D,C,1,Rural,Y
Male,Yes,1,Graduate,Yes,I,E,D,C,0,Rural,N
Male,No,0,Graduate,No,E,A,B,C,0,Rural,Y
Male,Yes,0,Graduate,Yes,F,C,B,C,1,Semiurban,Y
Female,Yes,0,Graduate,No,E,C,B,C,1,Urban,N
Female,No,0,Graduate,No,C,A,A,C,1,Urban,Y
Male,No,1,Graduate,No,E,B,B,C,1,Urban,Y
Male,No,0,Graduate,No,C,A,A,C,1,Semiurban,Y
Male,No,,Graduate,No,C,A,A,C,1,Urban,Y
Male,Yes,0,Graduate,,M,A,E,B,1,Urban,Y
,Yes,1,Graduate,Yes,J,B,B,B,1,Urban,Y
Male,Yes,,Graduate,Yes,F,E,A,,1,Semiurban,Y
Male,Yes,1,Graduate,,F,A,B,C,1,Rural,Y
Male,Yes,2,Graduate,Yes,C,E,B,C,1,Rural,Y
Female,No,3+,Not Graduate,No,B,A,,C,0,Urban,N
Female,No,0,Graduate,No,E,A,A,C,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,C,B,B,C,1,Rural,N
Female,No,0,Graduate,No,C,A,A,C,1,Rural,N
Male,Yes,1,Not Graduate,No,E,B,B,C,1,Urban,Y
Male,Yes,3+,Not Graduate,No,D,A,A,C,1,Semiurban,Y
Male,Yes,2,Graduate,,C,C,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,C,C,B,C,1,Semiurban,Y
Male,Yes,,Not Graduate,No,D,D,B,C,0,Rural,N
Male,Yes,2,Not Graduate,No,D,C,B,C,1,Urban,Y
Male,Yes,0,Graduate,No,G,E,C,C,,Semiurban,Y
Male,Yes,0,Graduate,No,C,G,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,J,A,C,C,1,Semiurban,Y
Male,No,0,Graduate,No,I,E,D,C,1,Rural,N
Male,Yes,3+,Graduate,No,C,C,A,C,1,Rural,Y
Female,Yes,0,Graduate,Yes,F,A,B,C,0,Rural,N
Female,Yes,0,Graduate,No,C,A,B,C,1,Semiurban,Y
Female,No,,Graduate,No,D,A,B,B,1,Urban,Y
Male,Yes,2,Graduate,No,I,D,B,C,1,Rural,Y
Male,Yes,1,Graduate,No,D,A,A,C,1,Urban,N
Male,Yes,0,Not Graduate,No,D,B,B,C,0,Urban,N
Male,Yes,3+,Graduate,No,F,D,C,C,1,Semiurban,Y
Female,No,1,Graduate,No,E,A,A,C,1,Semiurban,N
Male,Yes,2,Graduate,No,F,D,C,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,E,C,B,C,1,Urban,Y
Male,Yes,0,Graduate,No,D,D,A,B,,Urban,Y
Male,No,0,Graduate,Yes,G,A,B,C,1,Rural,Y
Male,No,0,Not Graduate,No,G,A,B,C,1,Rural,N
Male,No,0,Graduate,No,C,A,A,C,1,Semiurban,N
Male,No,0,Graduate,No,F,A,B,,0,Rural,N
Male,Yes,1,Graduate,No,G,A,B,C,1,Semiurban,Y
Male,Yes,0,Graduate,No,L,F,F,C,1,Rural,N
Female,No,0,Graduate,Yes,L,A,A,C,1,Semiurban,Y
Male,Yes,2,Graduate,No,F,A,B,C,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,J,H,D,B,1,Rural,Y
Male,No,1,Graduate,No,D,B,B,B,0,Urban,N
Female,No,0,Graduate,,C,B,B,C,1,Urban,Y
Male,Yes,0,Graduate,No,E,A,B,B,1,Urban,Y
Male,Yes,3+,Graduate,No,I,E,B,C,1,Rural,Y
Male,Yes,0,Graduate,No,E,A,B,C,,Semiurban,Y
Male,No,0,Graduate,No,D,A,A,C,1,Urban,N
Male,Yes,2,Graduate,No,F,A,B,C,1,Urban,Y
Male,Yes,0,Graduate,,D,C,B,C,1,Semiurban,Y
Male,No,0,Graduate,No,F,E,C,C,1,Semiurban,Y
Female,No,0,Graduate,No,G,A,B,C,1,Urban,Y
Male,No,0,Graduate,Yes,H,A,B,C,1,Urban,Y
Male,Yes,2,Graduate,No,E,A,B,C,1,Urban,N
Male,No,1,Graduate,,D,A,B,B,1,Urban,Y
Male,No,0,Not Graduate,No,C,B,B,C,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,D,D,,C,0,Urban,N
Male,Yes,0,Graduate,No,C,C,B,C,1,Urban,Y
Male,Yes,0,Graduate,No,F,A,B,C,1,Rural,Y
Male,No,3+,Graduate,No,J,A,B,C,1,Rural,Y
Male,Yes,3+,Graduate,No,J,A,C,C,1,Rural,Y
Male,Yes,0,Graduate,No,C,C,B,C,,Urban,Y
Male,Yes,2,Not Graduate,No,B,B,B,B,1,Semiurban,Y
Male,Yes,2,Graduate,No,D,B,B,C,1,Urban,Y
Male,Yes,2,Graduate,No,D,A,B,C,,Semiurban,Y
Female,No,0,Graduate,No,D,A,A,C,0,Urban,N
Male,Yes,0,Graduate,No,D,B,A,C,1,Urban,Y
Male,No,0,Not Graduate,No,D,B,B,C,1,Rural,Y
Female,No,0,Graduate,No,B,B,B,C,0,Semiurban,N
Male,Yes,2,Not Graduate,No,C,A,A,B,0,Urban,N
Male,No,0,Not Graduate,No,C,A,A,B,1,Rural,N
Male,No,0,Graduate,No,C,M,B,C,1,Semiurban,Y
Female,No,0,Not Graduate,No,B,A,A,C,1,Semiurban,Y
Female,No,0,Graduate,Yes,H,A,B,C,1,Rural,N
Female,No,0,Graduate,No,E,A,B,C,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,C,C,B,C,1,Urban,Y
Female,No,0,Not Graduate,No,C,A,A,C,1,Rural,Y
Male,Yes,1,Graduate,No,I,A,B,B,0,Semiurban,N
Male,Yes,3+,Graduate,No,M,A,D,C,0,Rural,N
Female,No,1,Not Graduate,Yes,D,A,A,C,1,Semiurban,N
Male,Yes,0,Graduate,,G,A,B,C,,Urban,Y
Male,Yes,0,Not Graduate,No,G,A,C,C,0,Rural,N
Male,Yes,0,Not Graduate,No,C,C,B,C,1,Rural,Y
Female,Yes,0,Not Graduate,No,C,D,B,C,0,Semiurban,N
Female,No,0,Graduate,No,C,A,A,C,1,Urban,Y
Female,No,1,Graduate,No,C,A,B,C,1,Urban,N
